Titan flyby id,Radar Data Take Number,Sequence number,Orbit Number/ID
Ta,DTN 035,S05,Rev 0A
T3,DTN 045,S08,Rev 03
T4,DTN 048,S09,Rev 04
T7,DTN 059,S14,Rev 14
T8,DTN 065,S15,Rev 17
T13,DTN 082,S20,Rev 23
T15,DTN 086,S21,Rev 25
T16,DTN 087,S22,Rev 26
T17,DTN 093,S23,Rev 28
T18,DTN 098,S24,Rev 29
T19,DTN 100,S24,Rev 30
T20,DTN 101,S25,Rev 31
T21,DTN 108,S26,Rev 35
T23,DTN 111,S27,Rev 37
T25,DTN 120,S28,Rev 39
T28,DTN 126,S29,Rev 42
T29,DTN 127,S29,Rev 43
T30,DTN 131,S30,Rev 44
T36,DTN 149,S34,Rev 50
T39,DTN 157,S36,Rev 54
T41,DTN 161,S38,Rev 59
T43,DTN 166,S40,Rev 67
T44,DTN 167,S40,Rev 69
T48,DTN 174,S46,Rev 95
T49,DTN 177,S46,Rev 97
T50,DTN 181,S47,Rev 102
T52,DTN 186,S49,Rev 107
T53,DTN 189,S49,Rev 109
T55,DTN 193,S50,Rev 111
T56,DTN 195,S50,Rev 112
T57,DTN 199,S51,Rev 113
T58,DTN 200,S51,Rev 114
T59,DTN 201,S52,Rev 115
T61,DTN 203,S53,Rev 117
T63,DTN 209,S55,Rev 122
T64,DTN 210,S56,Rev 123	
T65,DTN 211,S56,Rev 124
T69,DTN 218,S60,Rev 132
T71,DTN 220,S61,Rev 134
T77,DTN 229,S68,Rev 149
T80,DTN 234,S71,Rev 159
T83,DTN 239,S73,Rev 166
T84,DTN 240,S73,Rev 167
T86,DTN 243,S75,Rev 172
T91,DTN 248,S78,Rev 190
T92,DTN 250,S79,Rev 194
T95,DTN 253,S80,Rev 198
T98,DTN 257,S82,Rev 201
T104,DTN 261,S85,Rev 207
