CORADR ID,Is a Titan Flyby,Contains ABDR,Contains ASUM,Contains BIDR,Contains LBDR,Contains SBDR,Contains STDR
CORADR_0003,False,False,False,False,True,True,False
CORADR_0006,False,False,False,False,False,True,False
CORADR_0009,False,False,False,False,False,True,False
CORADR_0011,False,False,False,False,False,True,False
CORADR_0032,False,False,False,False,True,True,False
CORADR_0034,False,False,False,False,True,True,False
CORADR_0035,True,True,True,True,True,True,True
CORADR_0036,False,False,False,False,False,True,False
CORADR_0040,False,False,False,False,True,True,False
CORADR_0041,False,False,False,False,True,True,False
CORADR_0042,False,False,False,False,False,True,False
CORADR_0043,False,False,False,False,False,True,False
CORADR_0045,True,True,True,True,True,True,True
CORADR_0046,False,False,False,False,True,True,False
CORADR_0047,False,False,False,False,True,True,False
CORADR_0048,True,False,False,False,True,True,False
CORADR_0050,False,False,False,False,False,True,False
CORADR_0051,False,False,False,False,True,True,False
CORADR_0053,False,False,False,False,False,True,False
CORADR_0054,False,False,False,False,False,True,False
CORADR_0055,False,False,False,False,True,True,False
CORADR_0058,False,False,False,False,False,True,False
CORADR_0059,True,False,False,True,True,True,True
CORADR_0060,False,False,False,False,False,True,False
CORADR_0061,False,False,False,False,True,True,False
CORADR_0062,False,False,False,False,False,True,False
CORADR_0063,False,False,False,False,True,True,False
CORADR_0064,False,False,False,False,True,True,False
CORADR_0065,True,True,True,True,True,True,True
CORADR_0065_V02,True,True,True,True,True,True,False
CORADR_0065_V03,True,True,True,True,True,True,True
CORADR_0066,False,False,False,False,False,True,False
CORADR_0067,False,False,False,False,False,True,False
CORADR_0068,False,False,False,False,True,True,False
CORADR_0069,False,False,False,False,True,True,False
CORADR_0070,False,False,False,False,False,True,False
CORADR_0071,False,False,False,False,False,True,False
CORADR_0073,False,False,False,False,False,True,False
CORADR_0074,False,False,False,False,False,True,False
CORADR_0075,False,False,False,False,True,True,False
CORADR_0077,False,False,False,False,False,True,False
CORADR_0078,False,False,False,False,True,True,False
CORADR_0079,False,False,False,False,True,True,False
CORADR_0080,False,False,False,False,True,True,False
CORADR_0081,False,False,False,False,True,True,False
CORADR_0082,True,True,True,True,True,True,True
CORADR_0084,False,False,False,False,True,True,False
CORADR_0085,False,False,False,False,True,True,False
CORADR_0086,True,False,False,True,True,True,False
CORADR_0087,True,True,True,True,True,True,True
CORADR_0087_V02,True,True,True,True,True,True,False
CORADR_0087_V03,True,True,True,True,True,True,True
CORADR_0088,False,False,False,False,False,True,False
CORADR_0089,False,False,False,False,False,True,False
CORADR_0090,False,False,False,False,True,True,False
CORADR_0091,False,False,False,False,True,True,False
CORADR_0092,False,False,False,False,True,True,False
CORADR_0093,True,False,False,True,True,True,True
CORADR_0094,False,False,False,False,True,True,False
CORADR_0095,False,False,False,False,False,True,False
CORADR_0096,False,False,False,False,True,True,False
CORADR_0097,False,False,False,False,True,True,False
CORADR_0098,True,False,False,True,True,True,True
CORADR_0099,False,False,False,False,True,True,False
CORADR_0100,True,True,True,True,True,True,True
CORADR_0101,True,False,False,True,True,True,False
CORADR_0101_V02,True,True,False,True,True,True,False
CORADR_0101_V03,True,False,False,True,True,True,False
CORADR_0102,False,False,False,False,True,True,False
CORADR_0103,False,False,False,False,False,True,False
CORADR_0104,False,False,False,False,True,True,False
CORADR_0105,False,False,False,False,False,True,False
CORADR_0106,False,False,False,False,True,True,False
CORADR_0107,False,False,False,False,False,True,False
CORADR_0108,True,True,True,True,True,True,True
CORADR_0108_V02,True,True,True,True,True,True,False
CORADR_0108_V03,True,True,True,True,True,True,True
CORADR_0110,False,False,False,False,True,True,False
CORADR_0111,True,True,True,True,True,True,True
CORADR_0111_V02,True,True,True,True,True,True,False
CORADR_0111_V03,True,True,True,True,True,True,True
CORADR_0112,False,False,False,False,True,True,False
CORADR_0113,False,False,False,False,False,True,False
CORADR_0114,False,False,False,False,False,True,False
CORADR_0115,False,False,False,False,False,True,False
CORADR_0116,False,False,False,False,False,True,False
CORADR_0117,False,False,False,False,False,True,False
CORADR_0118,False,False,False,False,False,True,False
CORADR_0119,False,False,False,False,True,True,False
CORADR_0120,True,True,True,True,True,True,True
CORADR_0120_V02,True,True,True,True,True,True,False
CORADR_0120_V03,True,True,True,True,True,True,True
CORADR_0121,False,False,False,False,False,True,False
CORADR_0122,False,False,False,False,False,True,False
CORADR_0123,False,False,False,False,False,True,False
CORADR_0124,False,False,False,False,True,True,False
CORADR_0125,False,False,False,False,False,True,False
CORADR_0126,True,True,True,True,True,True,True
CORADR_0126_V02,True,True,True,True,True,True,False
CORADR_0126_V03,True,True,True,True,True,True,True
CORADR_0127,True,True,True,True,True,True,True
CORADR_0129,False,True,False,False,False,True,False
CORADR_0130,False,True,False,False,False,True,False
CORADR_0131,True,True,True,True,True,True,True
CORADR_0131_V02,True,True,True,True,True,True,False
CORADR_0131_V03,True,True,True,True,True,True,True
CORADR_0132,False,True,False,False,True,True,False
CORADR_0133,False,True,False,False,True,True,False
