Feature Name,Northmost Latitude,Southmost Latitude,Eastmost Longitude,Westmost Longitude,Center Latitude,Center Longitude,URL
Aaru,10.00,10.00,340.00,340.00,10.00,340.00,https://planetarynames.wr.usgs.gov/Feature/6981
Abaya Lacus,73.70,72.75,43.39,48.00,73.17,45.55,https://planetarynames.wr.usgs.gov/Feature/14314
Adiri,-10.00,-10.00,210.00,210.00,-10.00,210.00,https://planetarynames.wr.usgs.gov/Feature/6982
Afekan,25.80,25.80,200.30,200.30,25.80,200.30,https://planetarynames.wr.usgs.gov/Feature/14450
Akmena Lacus,85.40,84.70,53.00,58.80,85.10,55.60,https://planetarynames.wr.usgs.gov/Feature/15634
Albano Lacus,66.00,65.90,236.20,236.50,65.90,236.40,https://planetarynames.wr.usgs.gov/Feature/14769
Anbus Labyrinthus,40.40,38.00,213.30,216.60,39.20,215.00,https://planetarynames.wr.usgs.gov/Feature/15540
Angmar Montes,-9.50,-10.50,219.30,224.60,-10.00,221.90,https://planetarynames.wr.usgs.gov/Feature/14892
Annecy Lacus,76.90,76.60,128.20,129.80,76.80,128.90,https://planetarynames.wr.usgs.gov/Feature/15592
Antilia Faculae,-9.00,-14.00,184.00,190.00,-11.00,187.00,https://planetarynames.wr.usgs.gov/Feature/7001
Apanohuaya Flumen,84.06,84.52,292.69,301.78,84.29,297.24,https://planetarynames.wr.usgs.gov/Feature/15901
Ara Fluctus,40.40,39.60,117.60,119.00,39.80,118.40,https://planetarynames.wr.usgs.gov/Feature/14274
Arala Lacus,78.20,78.00,124.40,125.40,78.10,124.90,https://planetarynames.wr.usgs.gov/Feature/15595
Arnar Sinus,73.70,71.60,321.00,324.00,72.60,322.00,https://planetarynames.wr.usgs.gov/Feature/15294
Arrakis Planitia,-74.70,-80.80,113.10,134.60,-78.40,117.00,https://planetarynames.wr.usgs.gov/Feature/14656
Arwen Colles,-7.20,-7.80,259.20,260.60,-7.50,260.00,https://planetarynames.wr.usgs.gov/Feature/15072
Atacama Lacuna,68.50,67.70,226.80,228.00,68.20,227.60,https://planetarynames.wr.usgs.gov/Feature/14785
Atitlán Lacus,69.40,69.10,238.30,239.20,69.30,238.80,https://planetarynames.wr.usgs.gov/Feature/14770
Aura Undae,17.24,10.43,220.73,231.98,13.79,226.86,https://planetarynames.wr.usgs.gov/Feature/15360
Avacha Sinus,83.36,82.37,332.92,337.94,82.87,335.43,https://planetarynames.wr.usgs.gov/Feature/15902
Aztlan,-10.00,-10.00,20.00,20.00,-10.00,20.00,https://planetarynames.wr.usgs.gov/Feature/6983
Bacab Virgae,-15.00,-23.00,148.00,157.00,-19.00,151.00,https://planetarynames.wr.usgs.gov/Feature/7021
Baffin Sinus,81.10,79.45,337.59,352.15,80.35,344.62,https://planetarynames.wr.usgs.gov/Feature/15708
Balaton Lacus,83.30,82.60,84.50,89.70,82.90,87.50,https://planetarynames.wr.usgs.gov/Feature/15631
Bayta Fretum,74.60,71.50,306.00,316.90,73.00,311.20,https://planetarynames.wr.usgs.gov/Feature/15285
Bazaruto Facula,13.70,8.40,14.30,18.60,11.60,16.10,https://planetarynames.wr.usgs.gov/Feature/6992
Beag,-34.44,-35.04,169.23,169.87,-34.74,169.55,https://planetarynames.wr.usgs.gov/Feature/15312
Belet,-5.00,-5.00,255.00,255.00,-5.00,255.00,https://planetarynames.wr.usgs.gov/Feature/6984
Bermoothes Insula,67.80,66.00,314.30,318.90,67.10,317.10,https://planetarynames.wr.usgs.gov/Feature/15278
Bilbo Colles,-3.58,-4.76,36.52,40.38,-4.23,38.56,https://planetarynames.wr.usgs.gov/Feature/15073
Bimini Insula,73.70,72.90,304.70,306.00,73.30,305.40,https://planetarynames.wr.usgs.gov/Feature/15275
Bolsena Lacus,76.93,74.68,6.25,14.49,75.75,10.28,https://planetarynames.wr.usgs.gov/Feature/14315
Boni Sinus,79.08,78.08,342.92,348.02,78.69,345.38,https://planetarynames.wr.usgs.gov/Feature/15710
