Feature Name,Center Latitude,Center Longitude,Feature Type,Feature Description,Swath Coverage
Afekan,25.8,159.7,crater,largest crater in the Afekan region,T43 T83
Anbus Labyrinthus,39.2,145,labyrinth,labyrinth in north Afekan,T64 T86
Ara Fluctus,39.8,241.6,flow,radar bright crescent flow feature,Ta
Arrakis Planitia,-78.4,243,plains,radar bright plains in the south pole,T49
Aura Undae,13.79,133.14,dunes,dune field southwest of Afekan crater,T84
Belet,-5,105,dunes,Sand sea,T8 T49 T61 T84seg5 T50seg3 T92
Bermoothes Insula,67.1,42.9,island,island in Kraken Mare, T30 T84seg2 T91seg2
Bolsena Lacus,75.75,349.72,lake(s),circular lake in the north pole with a diffuse shoreline,T16 T29
Bralgu Insulae,76.2,108.5,island,island in Ligeia Mare, T25 T28 T86 T92
Caladan Planitia,31,134,plains,undifferentiated plains west of Afekan crater,T84 T44
Celadon Flumina,-73.7,331.2,channel(s),dark meandering channel coming off of Sikun Labyrinthus,T39
Coats Facula,-11.1,330.8,plains (?),bright ISS feature radar dark feature with a bright boundary,T28
Dilmun,15,185,mountain(s),mountain range east of Afekan,T48 T44 T61
Doom Mons,-14.65,319.58,hummock,bright hummock dome in Quivira,T25
Ecaz Labyrinthus,-83,323.3,labyrinth,large labyrith in the south pole,T39
Eir Macula,-24,245.3,dunes (?),radar dark circular feature in south Xanadu,T44 T48
Elivagar Flumina,19.3,281.5,channel(s),channel and fan system east of Menrva,T3 T77seg3
Forseti,25.53,349.6,crater,crater in T28,T23 T84 T113seg7
Gammu Labyrinthus,-77.9,110,labyrinth,labyrinth in the south pole incised by depressions,T58
Gandalf Colles,14.61,150.46,hummock,bulbous hummock bit south west of Afekan crater,T44 T84
Ganesa Macula,50,272.7,plains,radar dark feature north of Menrva with channels overlapping it,Ta
Gansireed Labyrinthus,-69.3,120.7,labyrinth,labyrinth south of the south belet region,T55 T56
Ginaz Labyrinthus,83,98.3,labyrinth,labyrinth next to ligeia mare,T25 T29 T92
Grumman Labyrinthus,-35.3,253.2,labyrinth,labyrinth in south Xanadu,T41
Guabonito,-10.9,209.2,crater,crater in Hobal west of Xanadu, T13 T48seg3
Hagal Planitia,-60.59,15.05,plains,radar dark plains feature partially SAR coverage,T71
Hano,40.3,14.9,crater,crater in Aaru,T16 T84 T104
Hobal Virga,-35,194,streak(s),Large Hobal windstreaks,T55 T56 T57 T58 T120
Hotei Regio,-26,282,depression(s),radar bright lobate features in Xanadu ISS bright region,T41 T43 T121
Hufaidh Insulae,67,39.7,island,penisula in Kraken Mare,T30 T91seg2
Jingpo Lacus,73,24,lake(s),lake in the north pole,T28 T84seg2 T86 T91seg2
Junction Labyrinthus,-47.7,144.7,labyrinth,labyrinth in S Ching-Tu, T39 T71
Kaitain Labyrinthus,52.37,11.34,labyrinth,labyrinth in Aaru,T16 T84seg2
Karesos Flumen,-70.9,165.25,channel(s),channel in a mountain near Ontario Lacus,T57
Kraken Mare,68,50,sea,Largest sea in the north pole, T30 T91seg2
Kronin Labyrinthus,-35.7,263.73,labyrinth,labyrinth in south Xanadu,T41
Ksa,14,294.6,crater,crater southeast of Menrva,T77 T77seg3
Lampadas Labyrinthus,-81.8,236,labyrinth,large muted labyrinth in south pole,T49
