INDEX,SWATH,SEGMENT,DATE (M),DATE (D),DATE (Y),MEAN – WEST LONGITUDE (DEG),MEDIAN – WEST LONGITUDE (DEG),MIN – WEST LONGITUDE (DEG),MAX – WEST LONGITUDE (DEG),MEAN – LATITUDE (DEG),MEDIAN – LATITUDE (DEG),MIN – LATITUDE (DEG),MAX – LATITUDE (DEG),MEAN – INCIDENCE (DEG),MEDIAN – INCIDENCE (DEG),MIN – INCIDENCE (DEG),MAX – INCIDENCE (DEG),MEAN – POLARIZATION (DEG),MEDIAN – POLARIZATION (DEG),MIN – POLARIZATION (DEG),MAX – POLARIZATION (DEG),MEAN – AZIMUTH (DEG),MEDIAN – AZIMUTH,MIN – AZIMUTH,MAX – AZIMUTH,MEAN – SAR RANGE RESOLUTION (KM),MEDIAN – SAR RANGE RESOLUTION (KM),MIN – SAR RANGE RESOLUTION (KM),MAX – SAR RANGE RESOLUTION (KM),MEAN – SAR AZIMUTH RESOLUTION (KM),MEDIAN – SAR AZIMUTH RESOLUTION (KM),MIN – SAR AZIMUTH RESOLUTION (KM),MAX – SAR AZIMUTH RESOLUTION (KM),MEAN – NUMBER OF LOOKS,MEDIAN – NUMBER OF LOOKS,MIN – NUMBER OF LOOKS,MAX – NUMBER OF LOOKS
0,A,1,10,26,2004,69.53,70.95,-2.10,137.57,41.93,42.27,20.55,56.87,24.37,23.82,1.83,46.26,172.21,177.04,124.98,185.23,93.64,88.26,22.77,181.85,0.78,0.79,0.27,3.83,0.37,0.30,0.24,1.30,6.68,4.00,1.00,91.00
1,3,1,2,15,2005,67.89,68.14,-1.80,137.06,15.52,15.41,-6.31,32.13,19.08,19.89,0.83,30.30,176.79,178.72,130.09,183.17,275.74,275.57,234.59,346.67,0.49,0.44,0.32,13.60,0.50,0.33,0.25,1.93,8.51,7.00,1.00,30.00
2,7,1,9,7,2005,8.79,11.73,-30.69,30.83,-50.07,-50.46,-75.24,-24.83,20.36,20.21,7.02,35.59,187.21,358.99,0.00,360.00,213.10,212.99,196.70,231.14,0.46,0.42,0.28,0.97,0.36,0.30,0.25,0.73,6.47,5.00,1.00,17.00
3,8,1,10,28,2005,250.73,250.74,181.25,320.14,-10.17,-10.17,-18.87,-1.90,21.02,21.53,5.33,30.02,154.36,24.04,0.00,360.00,262.53,262.79,219.07,279.30,0.49,0.43,0.34,2.28,0.45,0.31,0.25,1.63,7.92,6.00,1.00,38.00
4,8,2,10,28,2005,313.59,313.59,306.94,320.26,-6.78,-6.78,-18.38,4.80,17.02,17.17,3.65,30.51,51.45,46.56,19.32,127.43,224.53,229.73,145.23,253.39,1.15,0.77,0.40,9.17,1.57,1.35,1.07,5.26,3.10,3.00,1.00,9.00
5,8,3,10,28,2005,184.29,184.29,179.08,189.51,-5.31,-5.31,-16.90,6.27,11.47,10.78,1.95,24.90,30.42,13.03,0.13,179.66,234.18,248.69,88.43,268.10,3.76,2.09,0.83,21.44,0.76,0.62,0.61,3.82,4.97,5.00,1.00,11.00
6,13,1,4,30,2006,116.36,116.37,60.33,172.35,-11.46,-11.46,-19.23,-3.72,20.51,20.84,9.99,29.29,18.10,5.02,0.01,360.00,263.43,265.62,224.01,276.03,0.47,0.44,0.33,1.00,0.40,0.31,0.25,1.30,6.71,7.00,1.00,37.00
7,13,2,4,30,2006,167.83,167.83,163.30,172.36,-5.23,-5.23,-17.74,7.28,12.64,12.25,1.48,27.31,54.71,41.54,2.13,177.84,217.72,230.51,92.04,267.76,2.10,1.16,0.43,18.32,1.51,1.20,0.97,8.01,16.44,15.00,1.00,55.00
8,13,3,4,30,2006,189.81,189.81,180.31,199.30,-6.69,-6.69,-13.70,0.31,14.88,15.43,3.20,25.04,317.15,316.71,314.18,323.22,221.91,222.35,215.11,225.59,2.12,1.57,1.44,6.87,2.76,2.71,2.47,3.37,50.78,35.00,1.00,225.00
9,15,2,7,2,2006,30.40,30.39,8.17,52.52,-30.47,-30.47,-42.53,-18.36,36.78,36.82,32.29,42.01,145.29,18.37,0.00,359.97,246.43,243.19,225.69,276.96,2.14,2.15,2.08,2.16,3.04,2.99,2.76,3.45,159.18,163.00,1.00,255.00
